,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
1593,"261 Mount Vernon Highway NWAtlanta, GA 30328",30328,Fulton,3.0,2.0,,2.0,1956,2.0,1920,0.0,2,1390000
1594,"626 Darlington Road NEAtlanta, GA 30305",30305,Fulton,4.0,3.0,,0.26,1941,3.0,7283,0.0,2,1395000
1595,"536 Moreland NEAtlanta, GA 30307",30307,Fulton,4.0,3.5,,0.092,1920,6.0,13178,0.0,2,1395000
1596,"4385 Wieuca Road NEAtlanta, GA 30342",30342,Fulton,4.0,3.0,,0.47,1997,8.0,9809,0.0,2,1396000
1597,"3235 Roswell Road NE Unit: 506Atlanta, GA 30305",30305,Fulton,3.0,3.5,3364.0,0.077,1999,3.0,13488,21600.0,2,1399000
1598,"543 Auburn Avenue NEAtlanta, GA 30312",30312,Fulton,3.0,3.5,,0.101,2004,,13469,0.0,2,1399000
1599,"910 Lenox BoulevardAtlanta, GA 30324",30324,Fulton,3.0,3.5,3445.0,,2018,4.0,15323,0.0,2,1399000
1600,"1616 Belle Isle Circle NEAtlanta, GA 30329",30329,DeKalb,5.0,4.5,,0.6,2022,,3499,0.0,2,1400000
1601,"3220 FARMINGTON Drive SEAtlanta, GA 30339",30339,Cobb,4.0,3.0,3682.0,1.007,1971,1.0,2345,0.0,2,1400000
1602,"3885 Northside DriveAtlanta, GA 30342",30342,Fulton,6.0,5.5,4884.0,1.587,1957,6.0,24424,0.0,2,1400000
1603,"3326 Paces Ferry Road NWAtlanta, GA 30327",30327,Fulton,5.0,4.0,,1.995,1952,,13958,0.0,2,1400000
1604,"924 Peachtree Battle Avenue NWAtlanta, GA 30327",30327,Fulton,5.0,3.5,4900.0,0.563,1963,4.0,13325,0.0,2,1407500
1605,"611 East Avenue NEAtlanta, GA 30312",30312,Fulton,3.0,3.5,2430.0,0.089,2019,1.0,16241,0.0,2,1425000
1606,"2101 Howell Mill NWAtlanta, GA 30318",30318,Fulton,4.0,4.0,3981.0,0.353,2023,4.0,6140,0.0,2,1425000
1607,"100 1st Avenue SEAtlanta, GA 30317",30317,DeKalb,5.0,4.5,3250.0,0.2,2024,7.0,1374,0.0,2,1445000
1608,"83 E Andrews Drive NW Unit: 2Atlanta, GA 30305",30305,Fulton,3.0,3.5,,0.035,2016,3.0,18715,6000.0,2,1449900
1609,"57 Highland DriveAtlanta, GA 30305",30305,Fulton,5.0,4.0,4258.0,0.243,2002,,16518,0.0,2,1450000
1610,"3344 Peachtree Road NE Unit: 2802Atlanta, GA 30326",30326,Fulton,2.0,2.0,1700.0,0.036,2008,4.0,12938,21828.0,2,1450000
1611,"550 Joseph E Lowery  Unit: 0Atlanta, GA 30314",30314,Fulton,,,,0.396,1960,,3766,0.0,2,1450000
1612,"4030 Briarcliff RoadAtlanta, GA 30345",30345,DeKalb,4.0,5.5,3881.0,0.389,2023,4.0,16000,0.0,2,1461100
1613,"2605 Sunset DriveAtlanta, GA 30345",30345,DeKalb,4.0,5.5,4123.0,0.368,2023,4.0,16000,0.0,2,1462200
1614,"343 Sterling Street NEAtlanta, GA 30307",30307,DeKalb,4.0,3.0,3421.0,0.2,2006,4.0,3600,0.0,2,1470000
1615,"717 Myrtle Street NeAtlanta, GA 30308",30308,Fulton,4.0,3.5,,0.121,1920,5.0,1403,0.0,2,1480000
1616,"456 Overbrook Drive NWAtlanta, GA 30318",30318,Fulton,5.0,4.5,2969.0,0.434,2017,6.0,8953,0.0,2,1495000
1617,"792 Argonne AvenueAtlanta, GA 30308",30308,Fulton,4.0,4.0,3420.0,0.12,2020,6.0,7941,0.0,2,1495000
1618,"3840 Wieuca Terrace NEAtlanta, GA 30342",30342,Fulton,5.0,4.5,,0.322,1940,2.0,11586,0.0,2,1499000
1619,"3334 Peachtree Road NE Unit: 1209Atlanta, GA 30326",30326,Fulton,3.0,3.0,3246.0,0.056,1997,9.0,4975,9276.0,2,1499999
1620,"1756 N Akin Drive NEAtlanta, GA 30345",30345,DeKalb,4.0,4.5,4100.0,0.5,2019,3.0,20666,0.0,2,1500000
1621,"3667 Peachtree Road NE Unit: UNIT 6Atlanta, GA 30319",30319,Fulton,3.0,3.5,2500.0,0.031,2018,,7009,0.0,2,1500000
1622,"3667 Peachtree Road NE Unit: 6Atlanta, GA 30319",30319,Fulton,3.0,3.5,2900.0,0.031,2019,,12145,0.0,2,1500000
1623,"1106 Mantissa Street NWAtlanta, GA 30318",30318,Fulton,6.0,5.0,4771.0,0.3,2024,4.0,3086,0.0,2,1500000
1624,"23 Paces West Drive NWAtlanta, GA 30327",30327,Fulton,3.0,3.0,2688.0,0.062,1929,7.0,8023,0.0,2,1500000
1625,"1030 Rosedale Road NEAtlanta, GA 30306",30306,DeKalb,4.0,3.0,3380.0,,1990,4.0,0,0.0,2,1500000
