,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
783,"5680 SW Cascade RunAtlanta, GA 30336",30336,Fulton,3.0,2.5,1462.0,0.027,2003,4.0,4039,1080.0,2,315000,33.7276469,-84.57137039999999
784,"2178 Maxwell DrAtlanta, GA 30311",30311,Fulton,3.0,2.0,1246.0,0.288,1961,,917,0.0,2,315000,33.6957478,-84.48259689999999
785,"907 Piedmont NE Unit: 11Atlanta, GA 30309",30309,Fulton,1.0,1.0,678.0,0.015,1930,1.0,4991,3549.0,2,315000,33.779379,-84.3807384
786,"565 Peachtree Street NE Unit: UNIT 1206Atlanta, GA 30308",30308,Fulton,1.0,1.0,780.0,0.018,2006,7.0,4724,5002.0,2,315000,33.770061,-84.384657
787,"2374 Castle Keep Way SEAtlanta, GA 30316",30316,DeKalb,2.0,2.5,,0.089,2018,,3115,1020.0,2,315000,33.7203019,-84.316643
788,"3300 Windy Ridge SE Unit: 604Atlanta, GA 30339",30339,Cobb,1.0,1.0,806.0,,2006,6.0,2159,5136.0,2,315000,33.90353810000001,-84.4566847
789,"6002 NileAtlanta, GA 30349",30349,Clayton,4.0,2.5,2100.0,0.07,2018,3.0,5003,591.0,2,315000,33.620038,-84.5327038
790,"749 CASPLAN Street SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1471.0,0.24,1955,4.0,4362,0.0,2,315000,33.7068717,-84.41273220000001
791,"6983 Zaniah Road SWAtlanta, GA 30331",30331,Fulton,3.0,2.5,,0.023,2022,2.0,766,1440.0,2,315000,33.690374,-84.61992350000001
792,"3128 Meadowstone SWAtlanta, GA 30331",30331,Fulton,3.0,2.5,1479.0,0.05,2020,4.0,2436,3036.0,2,315000,33.6678863,-84.49309769999999
793,"250 Pharr Road NE Unit: 1102Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.018,2004,5.0,4678,5040.0,2,315000,33.8371871,-84.378968
794,"1280 Elizabeth Avenue SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1150.0,0.25,1950,4.0,2747,0.0,2,315000,33.7199908,-84.4352981
795,"28401 Plantation Drive NE Unit: 401Atlanta, GA 30324",30324,Fulton,2.0,2.5,1526.0,,1985,8.0,4586,9312.0,2,315000,33.8352665,-84.3562199
796,"2625 Baker Ridge Drive NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,1725.0,0.41,1941,3.0,1023,0.0,2,315000,33.7699065,-84.4750751
797,"6329 Rockaway RoadAtlanta, GA 30349",30349,Fulton,3.0,2.5,2024.0,0.015,2020,,4248,2100.0,2,316000,33.5824898,-84.4738131
798,"170 SE Boulevard  Unit: E006Atlanta, GA 30312",30312,Fulton,1.0,1.0,795.0,,2001,6.0,5162,0.0,2,317000,33.733837,-84.36820999999999
